datasetId;startTime;endTime;value
247;2025-04-30T04:30:00.000Z;2025-04-30T04:45:00.000Z;168
247;2025-04-30T04:15:00.000Z;2025-04-30T04:30:00.000Z;145.5
247;2025-04-30T04:00:00.000Z;2025-04-30T04:15:00.000Z;123.1
247;2025-04-30T03:45:00.000Z;2025-04-30T04:00:00.000Z;97.2
247;2025-04-30T03:30:00.000Z;2025-04-30T03:45:00.000Z;78.3
247;2025-04-30T03:15:00.000Z;2025-04-30T03:30:00.000Z;59.3
247;2025-04-30T03:00:00.000Z;2025-04-30T03:15:00.000Z;40.4
247;2025-04-30T02:45:00.000Z;2025-04-30T03:00:00.000Z;10.5
247;2025-04-30T02:30:00.000Z;2025-04-30T02:45:00.000Z;7
247;2025-04-30T02:15:00.000Z;2025-04-30T02:30:00.000Z;3.5
247;2025-04-30T02:00:00.000Z;2025-04-30T02:15:00.000Z;0
247;2025-04-30T01:45:00.000Z;2025-04-30T02:00:00.000Z;0
247;2025-04-30T01:30:00.000Z;2025-04-30T01:45:00.000Z;0
247;2025-04-30T01:15:00.000Z;2025-04-30T01:30:00.000Z;0
247;2025-04-30T01:00:00.000Z;2025-04-30T01:15:00.000Z;0
247;2025-04-30T00:45:00.000Z;2025-04-30T01:00:00.000Z;0
247;2025-04-30T00:30:00.000Z;2025-04-30T00:45:00.000Z;0
247;2025-04-30T00:15:00.000Z;2025-04-30T00:30:00.000Z;0
247;2025-04-30T00:00:00.000Z;2025-04-30T00:15:00.000Z;0
247;2025-04-29T23:45:00.000Z;2025-04-30T00:00:00.000Z;0
247;2025-04-29T23:30:00.000Z;2025-04-29T23:45:00.000Z;0
247;2025-04-29T23:15:00.000Z;2025-04-29T23:30:00.000Z;0
247;2025-04-29T23:00:00.000Z;2025-04-29T23:15:00.000Z;0
247;2025-04-29T22:45:00.000Z;2025-04-29T23:00:00.000Z;0
247;2025-04-29T22:30:00.000Z;2025-04-29T22:45:00.000Z;0
247;2025-04-29T22:15:00.000Z;2025-04-29T22:30:00.000Z;0
247;2025-04-29T22:00:00.000Z;2025-04-29T22:15:00.000Z;0
247;2025-04-29T21:45:00.000Z;2025-04-29T22:00:00.000Z;0
247;2025-04-29T21:30:00.000Z;2025-04-29T21:45:00.000Z;0
247;2025-04-29T21:15:00.000Z;2025-04-29T21:30:00.000Z;0
247;2025-04-29T21:00:00.000Z;2025-04-29T21:15:00.000Z;0
247;2025-04-29T20:45:00.000Z;2025-04-29T21:00:00.000Z;0
247;2025-04-29T20:30:00.000Z;2025-04-29T20:45:00.000Z;0
247;2025-04-29T20:15:00.000Z;2025-04-29T20:30:00.000Z;0
247;2025-04-29T20:00:00.000Z;2025-04-29T20:15:00.000Z;0
247;2025-04-29T19:45:00.000Z;2025-04-29T20:00:00.000Z;0
247;2025-04-29T19:30:00.000Z;2025-04-29T19:45:00.000Z;0
247;2025-04-29T19:15:00.000Z;2025-04-29T19:30:00.000Z;0
247;2025-04-29T19:00:00.000Z;2025-04-29T19:15:00.000Z;0
247;2025-04-29T18:45:00.000Z;2025-04-29T19:00:00.000Z;0
247;2025-04-29T18:30:00.000Z;2025-04-29T18:45:00.000Z;0
247;2025-04-29T18:15:00.000Z;2025-04-29T18:30:00.000Z;0
247;2025-04-29T18:00:00.000Z;2025-04-29T18:15:00.000Z;0
247;2025-04-29T17:45:00.000Z;2025-04-29T18:00:00.000Z;16.5
247;2025-04-29T17:30:00.000Z;2025-04-29T17:45:00.000Z;36.1
247;2025-04-29T17:15:00.000Z;2025-04-29T17:30:00.000Z;55.7
247;2025-04-29T17:00:00.000Z;2025-04-29T17:15:00.000Z;75.3
247;2025-04-29T16:45:00.000Z;2025-04-29T17:00:00.000Z;112.4
247;2025-04-29T16:30:00.000Z;2025-04-29T16:45:00.000Z;142
247;2025-04-29T16:15:00.000Z;2025-04-29T16:30:00.000Z;171.6
247;2025-04-29T16:00:00.000Z;2025-04-29T16:15:00.000Z;201.2
247;2025-04-29T15:45:00.000Z;2025-04-29T16:00:00.000Z;234.6
247;2025-04-29T15:30:00.000Z;2025-04-29T15:45:00.000Z;266.6
247;2025-04-29T15:15:00.000Z;2025-04-29T15:30:00.000Z;298.6
247;2025-04-29T15:00:00.000Z;2025-04-29T15:15:00.000Z;330.6
247;2025-04-29T14:45:00.000Z;2025-04-29T15:00:00.000Z;368.7
247;2025-04-29T14:30:00.000Z;2025-04-29T14:45:00.000Z;398.1
247;2025-04-29T14:15:00.000Z;2025-04-29T14:30:00.000Z;427.5
247;2025-04-29T14:00:00.000Z;2025-04-29T14:15:00.000Z;456.9
247;2025-04-29T13:45:00.000Z;2025-04-29T14:00:00.000Z;489.8
247;2025-04-29T13:30:00.000Z;2025-04-29T13:45:00.000Z;508.3
247;2025-04-29T13:15:00.000Z;2025-04-29T13:30:00.000Z;526.8
247;2025-04-29T13:00:00.000Z;2025-04-29T13:15:00.000Z;545.4
247;2025-04-29T12:45:00.000Z;2025-04-29T13:00:00.000Z;545.4
247;2025-04-29T12:30:00.000Z;2025-04-29T12:45:00.000Z;557.1
247;2025-04-29T12:15:00.000Z;2025-04-29T12:30:00.000Z;565
247;2025-04-29T12:00:00.000Z;2025-04-29T12:15:00.000Z;576.7
247;2025-04-29T11:45:00.000Z;2025-04-29T12:00:00.000Z;622.5
247;2025-04-29T11:30:00.000Z;2025-04-29T11:45:00.000Z;629.9
247;2025-04-29T11:15:00.000Z;2025-04-29T11:30:00.000Z;634.8
247;2025-04-29T11:00:00.000Z;2025-04-29T11:15:00.000Z;642.3
247;2025-04-29T10:45:00.000Z;2025-04-29T11:00:00.000Z;642.3
247;2025-04-29T10:30:00.000Z;2025-04-29T10:45:00.000Z;647.2
247;2025-04-29T10:15:00.000Z;2025-04-29T10:30:00.000Z;647.2
247;2025-04-29T10:00:00.000Z;2025-04-29T10:15:00.000Z;642.3
247;2025-04-29T09:45:00.000Z;2025-04-29T10:00:00.000Z;611.5
247;2025-04-29T09:30:00.000Z;2025-04-29T09:45:00.000Z;597.2
247;2025-04-29T09:15:00.000Z;2025-04-29T09:30:00.000Z;583
247;2025-04-29T09:00:00.000Z;2025-04-29T09:15:00.000Z;568.7
247;2025-04-29T08:45:00.000Z;2025-04-29T09:00:00.000Z;555.1
247;2025-04-29T08:30:00.000Z;2025-04-29T08:45:00.000Z;538.6
247;2025-04-29T08:15:00.000Z;2025-04-29T08:30:00.000Z;522.1
247;2025-04-29T08:00:00.000Z;2025-04-29T08:15:00.000Z;505.6
247;2025-04-29T07:45:00.000Z;2025-04-29T08:00:00.000Z;490.4
247;2025-04-29T07:30:00.000Z;2025-04-29T07:45:00.000Z;468.9
247;2025-04-29T07:15:00.000Z;2025-04-29T07:30:00.000Z;447.4
247;2025-04-29T07:00:00.000Z;2025-04-29T07:15:00.000Z;425.8
247;2025-04-29T06:45:00.000Z;2025-04-29T07:00:00.000Z;400.8
247;2025-04-29T06:30:00.000Z;2025-04-29T06:45:00.000Z;372.4
247;2025-04-29T06:15:00.000Z;2025-04-29T06:30:00.000Z;344
247;2025-04-29T06:00:00.000Z;2025-04-29T06:15:00.000Z;315.6
247;2025-04-29T05:45:00.000Z;2025-04-29T06:00:00.000Z;273.9
247;2025-04-29T05:30:00.000Z;2025-04-29T05:45:00.000Z;245.2
247;2025-04-29T05:15:00.000Z;2025-04-29T05:30:00.000Z;216.6
247;2025-04-29T05:00:00.000Z;2025-04-29T05:15:00.000Z;187.9
247;2025-04-29T04:45:00.000Z;2025-04-29T05:00:00.000Z;165.8
247;2025-04-29T04:30:00.000Z;2025-04-29T04:45:00.000Z;141.3
247;2025-04-29T04:15:00.000Z;2025-04-29T04:30:00.000Z;116.8
247;2025-04-29T04:00:00.000Z;2025-04-29T04:15:00.000Z;92.2
247;2025-04-29T03:45:00.000Z;2025-04-29T04:00:00.000Z;58.8
247;2025-04-29T03:30:00.000Z;2025-04-29T03:45:00.000Z;42.7
247;2025-04-29T03:15:00.000Z;2025-04-29T03:30:00.000Z;26.6
247;2025-04-29T03:00:00.000Z;2025-04-29T03:15:00.000Z;10.5
247;2025-04-29T02:45:00.000Z;2025-04-29T03:00:00.000Z;0.4
247;2025-04-29T02:30:00.000Z;2025-04-29T02:45:00.000Z;0.3
247;2025-04-29T02:15:00.000Z;2025-04-29T02:30:00.000Z;0.1
247;2025-04-29T02:00:00.000Z;2025-04-29T02:15:00.000Z;0
247;2025-04-29T01:45:00.000Z;2025-04-29T02:00:00.000Z;0
247;2025-04-29T01:30:00.000Z;2025-04-29T01:45:00.000Z;0
247;2025-04-29T01:15:00.000Z;2025-04-29T01:30:00.000Z;0
247;2025-04-29T01:00:00.000Z;2025-04-29T01:15:00.000Z;0
247;2025-04-29T00:45:00.000Z;2025-04-29T01:00:00.000Z;0
247;2025-04-29T00:30:00.000Z;2025-04-29T00:45:00.000Z;0
247;2025-04-29T00:15:00.000Z;2025-04-29T00:30:00.000Z;0
247;2025-04-29T00:00:00.000Z;2025-04-29T00:15:00.000Z;0
247;2025-04-28T23:45:00.000Z;2025-04-29T00:00:00.000Z;0
247;2025-04-28T23:30:00.000Z;2025-04-28T23:45:00.000Z;0
247;2025-04-28T23:15:00.000Z;2025-04-28T23:30:00.000Z;0
247;2025-04-28T23:00:00.000Z;2025-04-28T23:15:00.000Z;0
247;2025-04-28T22:45:00.000Z;2025-04-28T23:00:00.000Z;0
247;2025-04-28T22:30:00.000Z;2025-04-28T22:45:00.000Z;0
247;2025-04-28T22:15:00.000Z;2025-04-28T22:30:00.000Z;0
247;2025-04-28T22:00:00.000Z;2025-04-28T22:15:00.000Z;0
247;2025-04-28T21:45:00.000Z;2025-04-28T22:00:00.000Z;0
247;2025-04-28T21:30:00.000Z;2025-04-28T21:45:00.000Z;0
247;2025-04-28T21:15:00.000Z;2025-04-28T21:30:00.000Z;0
247;2025-04-28T21:00:00.000Z;2025-04-28T21:15:00.000Z;0
247;2025-04-28T20:45:00.000Z;2025-04-28T21:00:00.000Z;0
247;2025-04-28T20:30:00.000Z;2025-04-28T20:45:00.000Z;0
247;2025-04-28T20:15:00.000Z;2025-04-28T20:30:00.000Z;0
247;2025-04-28T20:00:00.000Z;2025-04-28T20:15:00.000Z;0
247;2025-04-28T19:45:00.000Z;2025-04-28T20:00:00.000Z;0
247;2025-04-28T19:30:00.000Z;2025-04-28T19:45:00.000Z;0
247;2025-04-28T19:15:00.000Z;2025-04-28T19:30:00.000Z;0
247;2025-04-28T19:00:00.000Z;2025-04-28T19:15:00.000Z;0
247;2025-04-28T18:45:00.000Z;2025-04-28T19:00:00.000Z;0
247;2025-04-28T18:30:00.000Z;2025-04-28T18:45:00.000Z;0
247;2025-04-28T18:15:00.000Z;2025-04-28T18:30:00.000Z;0
247;2025-04-28T18:00:00.000Z;2025-04-28T18:15:00.000Z;0
247;2025-04-28T17:45:00.000Z;2025-04-28T18:00:00.000Z;3.9
247;2025-04-28T17:30:00.000Z;2025-04-28T17:45:00.000Z;10.6
247;2025-04-28T17:15:00.000Z;2025-04-28T17:30:00.000Z;17.4
247;2025-04-28T17:00:00.000Z;2025-04-28T17:15:00.000Z;24.1
247;2025-04-28T16:45:00.000Z;2025-04-28T17:00:00.000Z;37.2
247;2025-04-28T16:30:00.000Z;2025-04-28T16:45:00.000Z;48.3
247;2025-04-28T16:15:00.000Z;2025-04-28T16:30:00.000Z;59.3
247;2025-04-28T16:00:00.000Z;2025-04-28T16:15:00.000Z;70.4
247;2025-04-28T15:45:00.000Z;2025-04-28T16:00:00.000Z;75.8
247;2025-04-28T15:30:00.000Z;2025-04-28T15:45:00.000Z;93.5
247;2025-04-28T15:15:00.000Z;2025-04-28T15:30:00.000Z;111.2
247;2025-04-28T15:00:00.000Z;2025-04-28T15:15:00.000Z;129
247;2025-04-28T14:45:00.000Z;2025-04-28T15:00:00.000Z;151.6
247;2025-04-28T14:30:00.000Z;2025-04-28T14:45:00.000Z;180.9
247;2025-04-28T14:15:00.000Z;2025-04-28T14:30:00.000Z;210.3
247;2025-04-28T14:00:00.000Z;2025-04-28T14:15:00.000Z;239.7
247;2025-04-28T13:45:00.000Z;2025-04-28T14:00:00.000Z;282
247;2025-04-28T13:30:00.000Z;2025-04-28T13:45:00.000Z;318.9
247;2025-04-28T13:15:00.000Z;2025-04-28T13:30:00.000Z;355.8
247;2025-04-28T13:00:00.000Z;2025-04-28T13:15:00.000Z;392.7
247;2025-04-28T12:45:00.000Z;2025-04-28T13:00:00.000Z;438.9
247;2025-04-28T12:30:00.000Z;2025-04-28T12:45:00.000Z;473.6
247;2025-04-28T12:15:00.000Z;2025-04-28T12:30:00.000Z;508.4
247;2025-04-28T12:00:00.000Z;2025-04-28T12:15:00.000Z;543.1
247;2025-04-28T11:45:00.000Z;2025-04-28T12:00:00.000Z;584.6
247;2025-04-28T11:30:00.000Z;2025-04-28T11:45:00.000Z;605
247;2025-04-28T11:15:00.000Z;2025-04-28T11:30:00.000Z;625.5
247;2025-04-28T11:00:00.000Z;2025-04-28T11:15:00.000Z;645.9
247;2025-04-28T10:45:00.000Z;2025-04-28T11:00:00.000Z;645.9
247;2025-04-28T10:30:00.000Z;2025-04-28T10:45:00.000Z;652.4
247;2025-04-28T10:15:00.000Z;2025-04-28T10:30:00.000Z;656.7
247;2025-04-28T10:00:00.000Z;2025-04-28T10:15:00.000Z;663.2
247;2025-04-28T09:45:00.000Z;2025-04-28T10:00:00.000Z;679.2
247;2025-04-28T09:30:00.000Z;2025-04-28T09:45:00.000Z;691.5
247;2025-04-28T09:15:00.000Z;2025-04-28T09:30:00.000Z;691.5
247;2025-04-28T09:00:00.000Z;2025-04-28T09:15:00.000Z;679.2
247;2025-04-28T08:45:00.000Z;2025-04-28T09:00:00.000Z;659.8
247;2025-04-28T08:30:00.000Z;2025-04-28T08:45:00.000Z;630.9
247;2025-04-28T08:15:00.000Z;2025-04-28T08:30:00.000Z;602
247;2025-04-28T08:00:00.000Z;2025-04-28T08:15:00.000Z;573.1
247;2025-04-28T07:45:00.000Z;2025-04-28T08:00:00.000Z;505.1
247;2025-04-28T07:30:00.000Z;2025-04-28T07:45:00.000Z;471.1
247;2025-04-28T07:15:00.000Z;2025-04-28T07:30:00.000Z;437.2
247;2025-04-28T07:00:00.000Z;2025-04-28T07:15:00.000Z;403.3
247;2025-04-28T06:45:00.000Z;2025-04-28T07:00:00.000Z;384.9
247;2025-04-28T06:30:00.000Z;2025-04-28T06:45:00.000Z;358.3
247;2025-04-28T06:15:00.000Z;2025-04-28T06:30:00.000Z;331.8
247;2025-04-28T06:00:00.000Z;2025-04-28T06:15:00.000Z;305.3
247;2025-04-28T05:45:00.000Z;2025-04-28T06:00:00.000Z;279.9
247;2025-04-28T05:30:00.000Z;2025-04-28T05:45:00.000Z;254.6
247;2025-04-28T05:15:00.000Z;2025-04-28T05:30:00.000Z;229.2
247;2025-04-28T05:00:00.000Z;2025-04-28T05:15:00.000Z;203.8
247;2025-04-28T04:45:00.000Z;2025-04-28T05:00:00.000Z;176.7
247;2025-04-28T04:30:00.000Z;2025-04-28T04:45:00.000Z;153.7
247;2025-04-28T04:15:00.000Z;2025-04-28T04:30:00.000Z;130.6
247;2025-04-28T04:00:00.000Z;2025-04-28T04:15:00.000Z;107.6
247;2025-04-28T03:45:00.000Z;2025-04-28T04:00:00.000Z;84.4
247;2025-04-28T03:30:00.000Z;2025-04-28T03:45:00.000Z;66.7
247;2025-04-28T03:15:00.000Z;2025-04-28T03:30:00.000Z;49
247;2025-04-28T03:00:00.000Z;2025-04-28T03:15:00.000Z;31.3
247;2025-04-28T02:45:00.000Z;2025-04-28T03:00:00.000Z;0.8
247;2025-04-28T02:30:00.000Z;2025-04-28T02:45:00.000Z;0.5
247;2025-04-28T02:15:00.000Z;2025-04-28T02:30:00.000Z;0.3
247;2025-04-28T02:00:00.000Z;2025-04-28T02:15:00.000Z;0
247;2025-04-28T01:45:00.000Z;2025-04-28T02:00:00.000Z;0
247;2025-04-28T01:30:00.000Z;2025-04-28T01:45:00.000Z;0
247;2025-04-28T01:15:00.000Z;2025-04-28T01:30:00.000Z;0
247;2025-04-28T01:00:00.000Z;2025-04-28T01:15:00.000Z;0
247;2025-04-28T00:45:00.000Z;2025-04-28T01:00:00.000Z;0
